類型,標題,Hashtag關鍵詞
social,社群媒體對青少年的影響加劇,"1. #社交媒體成癮
2. #網路霸凌
3. #數位排毒
4. #身體焦慮
5. #自尊
6. #青少年心理健康
7. #家長監督
8. #學校教育
9. #AI社交
10. #數位素養"
social,"AI技術應用廣泛,倫理問題受關注","1. #AI應用
2. #ChatGPT
3. #AI倫理
4. #深偽技術
5. #AI教育
6. #AI監管
7. #負責任AI
8. #AI未來
9. #AI風險
10. #AI治理"
social,遠距混合工作模式成為主流,"1. #遠距工作
2. #混合辦公
3. #工作生活平衡
4. #數位游牧
5. #員工福祉
6. #未來工作
7. #疫後新常態
8. #企業韌性
9. #遠距管理
10. #協作平台"
social,"婚育觀念翻轉,少子化現象加劇","1. #少子化
2. #生育率
3. #育兒友善
4. #托育政策
5. #工作家庭平衡
6. #婚育觀念
7. #人口老化
8. #世代永續
9. #婚姻價值觀
10. #Z世代家庭觀"
social,"高齡化社會來臨,跨世代共融成關鍵","1. #高齡化社會
2. #銀髮經濟
3. #跨世代共融
4. #長期照護
5. #老年友善
6. #活躍老化
7. #高齡就業
8. #老年科技
9. #代間正義
10. #老年女性"
social,性別平等與LGBTQ+權益的進展,"1. #同婚合法化
2. #跨性別權益
3. #性別平等
4. #多元共融
5. #彩虹驕傲
6. #職場平權
7. #教育平權
8. #酷兒文化
9. #性別友善
10. #去污名化"
social,重大災難考驗社會韌性,"1. #極端氣候
2. #氣候變遷
3. #環境永續
4. #生物多樣性
5. #綠色轉型
6. #碳中和
7. #ESG
8. #氣候行動
9. #災害韌性
10. #生態保育"
social,"運動社群風潮盛,推動健康新生活","1. #運動社群
2. #健康生活
3. #線上運動課程
4. #運動APP
5. #運動打卡
6. #運動挑戰賽
7. #運動旅遊
8. #運動裝備分享
9. #運動營養補充
10. #運動數據追蹤"
technological,多模態LMM漸成生成式AI主流,"1. #生成式AI
2. #ChatGPT
3. #AIGC
4. #提示工程
5. #多模態學習
6. #AI安全
7. #AI倫理
8. #AI治理"
technological,AI晶片效能與基礎建設快速進化,"1. #AI晶片
2. #高性能運算
3. #雲端運算
4. #邊緣運算
5. #異質整合
6. #製程工藝
7. #記憶體頻寬
8. #低功耗設計"
technological,「AI+X」AI賦能產業升級轉型,"1. #企業AI
2. #智慧製造
3. #金融科技
4. #智慧醫療
5. #智慧零售
6. #智慧教育
7. #數位轉型
8. #AI賦能"
technological,實體與虛擬「類人機器人」新紀元,"1. #人形機器人
2. #類人機器人
3. #仿生機器人
4. #AI+機器人
5. #智慧終端
6. #人機交互
7. #機器人應用
8. #服務型機器人"
technological,"AI賦能衛星互聯網,星鏈等項目加速佈局","1. #衛星互聯網
2. #星鏈計劃
3. #低軌衛星
4. #空天地一體化
5. #數字包容
6. #彌合數字鴻溝
7. #全球連接
8. #天基互聯網"
