主要趨勢,子項趨勢,關鍵字hashtags
政治Political,"AI應用廣泛,治理及監管爭議升溫","#AI治理、#負責任AI、#AI倫理、#演算法偏見、#AI安全、#AI監管、#機器倫理、#AI生成內容、#AI學術誠信、#人機共生
"
政治Political,美國加強管控中國科技公司,"#TikTok禁令、#美中科技戰、#數據安全、#國家安全、#出口管制、#網絡攻擊、#AI監管、#反壟斷、#字節跳動、#全球化
"
政治Political,社群媒體平台面臨更嚴格監管,"#社媒監管、#內容審核、#虛假信息、#隱私保護、#未成年人網路安全、#社媒反壟斷、#言論自由、#平台治理、#可問責性、#互聯網治理
"
政治Political,"加密貨幣市場動盪,監管政策引爭議","#加密貨幣、#比特幣、#市場波動、#穩定幣、#監管政策、#投資風險、#洗錢、#金融創新、#區塊鏈、#數位經濟
"
政治Political,"能源轉型,核能重獲重視","能源轉型、#可再生能源、#化石燃料、#能源安全、#地緣政治、#淨零碳排、#核電爭議、#能源合作、#碳中和、#綠色發展
"
政治Political,東亞政治交替,"#東亞政治、#台灣大選、#兩岸關係、#日本首相、#韓國大選、#政黨輪替、#區域穩定、#中美競爭、#經濟復甦、#印太戰略
"
政治Political,中東地緣政治緊張局勢升高,"#中東緊張局勢、#也門內戰、#伊朗核問題、#庫德分離主義、#以巴衝突、#恐怖主義威脅、#難民危機、#地區大國博弈
"
政治Political,"全球軍備支出創新高
","#軍費支出 #國防預算 #軍備競賽 #國際安全 #先進武器 #網路戰 #太空軍事化 #核武現代化 #國防產業 #軍事創新 #社會福利 #國際關係

"
政治Political,"國際間科技產業鍊結合地緣政治競爭加劇

","#科技競爭 #美中科技戰 #半導體 #5G #人工智慧 #科技自主 #數位主權 #反壟斷 #網路安全 #科技倫理 #國際規範 #科技外交

"
經濟Economic,AI浪潮重塑產業格局,"#AI革命、#晶片需求爆發、#AI投資熱潮、#AI新創崛起、#AI重塑產業、#AI伺服器爆單、#AI產業鏈、#AI新基建
"
經濟Economic,全球經濟復甦力道放緩,"#滯脹風險、#需求降溫、#貨幣緊縮、#供應鏈重構、#債務問題、#房市低迷、#內需不振、#經濟下行壓力
"
